expiry,tenor,strike_shift_bp,black_vol_bp
1,5,-300,3350
1,5,-250,3000
1,5,-200,2750
1,5,-150,2550
1,5,-100,2400
1,5,-50,2250
1,5,0,2100
1,5,50,2200
1,5,100,2300
1,5,150,2450
1,5,200,2650
1,5,250,2900
1,5,300,3200
2,5,-300,3500
2,5,-250,3150
2,5,-200,2900
2,5,-150,2700
2,5,-100,2550
2,5,-50,2400
2,5,0,2250
2,5,50,2350
2,5,100,2450
2,5,150,2600
2,5,200,2800
2,5,250,3050
2,5,300,3350
3,5,-300,3600
3,5,-250,3250
3,5,-200,3000
3,5,-150,2800
3,5,-100,2650
3,5,-50,2500
3,5,0,2350
3,5,50,2450
3,5,100,2550
3,5,150,2700
3,5,200,2900
3,5,250,3150
3,5,300,3450
4,5,-300,3700
4,5,-250,3350
4,5,-200,3100
4,5,-150,2900
4,5,-100,2750
4,5,-50,2600
4,5,0,2450
4,5,50,2550
4,5,100,2650
4,5,150,2800
4,5,200,3000
4,5,250,3250
4,5,300,3550
5,5,-300,3800
5,5,-250,3450
5,5,-200,3200
5,5,-150,3000
5,5,-100,2850
5,5,-50,2700
5,5,0,2550
5,5,50,2650
5,5,100,2750
5,5,150,2900
5,5,200,3100
5,5,250,3350
5,5,300,3650
7,5,-300,3950
7,5,-250,3600
7,5,-200,3350
7,5,-150,3150
7,5,-100,3000
7,5,-50,2850
7,5,0,2700
7,5,50,2800
7,5,100,2900
7,5,150,3050
7,5,200,3250
7,5,250,3500
7,5,300,3800
10,5,-300,4100
10,5,-250,3750
10,5,-200,3500
10,5,-150,3300
10,5,-100,3150
10,5,-50,3000
10,5,0,2850
10,5,50,2950
10,5,100,3050
10,5,150,3200
10,5,200,3400
10,5,250,3650
10,5,300,3950
15,5,-300,4250
15,5,-250,3900
15,5,-200,3650
15,5,-150,3450
15,5,-100,3300
15,5,-50,3150
15,5,0,3000
15,5,50,3100
15,5,100,3200
15,5,150,3350
15,5,200,3550
15,5,250,3800
15,5,300,4100
20,5,-300,4350
20,5,-250,4000
20,5,-200,3750
20,5,-150,3550
20,5,-100,3400
20,5,-50,3250
20,5,0,3100
20,5,50,3200
20,5,100,3300
20,5,150,3450
20,5,200,3650
20,5,250,3900
20,5,300,4200
30,5,-300,4500
30,5,-250,4150
30,5,-200,3900
30,5,-150,3700
30,5,-100,3550
30,5,-50,3400
30,5,0,3250
30,5,50,3350
30,5,100,3450
30,5,150,3600
30,5,200,3800
30,5,250,4050
30,5,300,4350
